State,County #,Life Expectancy Male,Life Expectancy Female
Alabama,12,72.9,78.6
Alabama,52,70.4,76.9
Alabama,37,71,77.4
Arizona,14,72.5,79.4
Arkansas,60,70.9,79.6
California,36,75.8,80.9
California,44,75.2,80.2
Connecticut,3,78,82.6
Connecticut,4,77.7,82.3
Connecticut,1,79.4,83.7
Delaware,2,75.6,80.5
Delaware,1,76,81.1
Florida,17,76.4,81.8
Florida,19,76.2,81.4
Florida,61,71.1,77.8
Georgia,30,74.3,79.5
Hawaii,3,76.8,82.9
Hawaii,4,76.6,82.6
Idaho,1,80,83.4
Idaho,25,76.2,80.8
Idaho,24,76.2,80.8
Illinois,46,75.1,80.5
Kansas,33,75.9,81.1
Kansas,78,75.2,80.2
Kansas,48,75.8,81
Kentucky,40,73.2,79
Louisiana,35,71.2,77.4
Maine,4,77.2,81.8
Maine,7,76.2,81
Maine,10,75.7,80.7
Maryland,18,74.1,79.5
Maryland,19,73.9,79.1
Massachusetts,6,77.9,82.6
Michigan,35,75.7,80.8
Michigan,51,75.2,80.3
Michigan,76,74.1,79.4
Michigan,38,75.6,80.6
Minnesota,85,75.1,80.9
Mississippi,56,69.8,76.6
Missouri,86,73.2,79.2
Missouri,59,74.3,79.7
Montana,22,76.1,81.2
Montana,47,74.6,80.3
Montana,53,74.3,80.1
Nebraska,42,76.4,81.4
Nebraska,55,76.2,81.4
Nevada,16,72.6,82
Nevada,13,74.5,82
Nevada,10,74.9,82.1
New Hampshire,3,78,82.4
New Hampshire,2,78.4,82.5
New Mexico,2,78.6,83.2
New Mexico,7,75.7,81.4
New Mexico,11,75.6,80.9
New Mexico,14,74.9,80.5
New York,36,76,80.9
New York,27,76.4,81.3
North Carolina,91,70.4,77.3
North Dakota,22,76,82.1
North Dakota,11,76.6,82.3
North Dakota,29,76,81.6
North Dakota,52,74.5,80.3
Ohio,66,74,79.3
Ohio,61,74.1,79.5
Oklahoma,4,75.3,80
Oklahoma,18,74,79.4
Oklahoma,8,75.1,79.7
Oklahoma,47,72.4,78.4
Oklahoma,33,73.2,78.7
Oregon,5,78.2,81.8
Oregon,17,76,80.9
Rhode Island,4,76.2,81.9
South Carolina,25,72.2,77.9
South Carolina,35,70.1,77
South Carolina,41,69,76.1
South Dakota,38,75.7,81.5
Tennessee,43,72.5,78.4
Tennessee,36,72.6,78.6
Tennessee,60,71.6,78
Tennessee,24,73.1,78.9
Tennessee,34,72.7,78.6
Texas,66,74.7,80.2
Texas,126,73.8,79.3
Utah,7,78.6,82.1
Utah,22,75.5,80.5
Virginia,88,72.8,80.9
Virginia,27,76,77.9
Virginia,108,71.8,77.9
Washington,2,79.2,83.4
Washington,1,80.9,84.1
Washington,35,75.1,80.1
Washington,30,75.3,80.5
Washington,25,75.8,80.9
West Virginia,27,73.5,78.8
West Virginia,1,76,80.4
West Virginia,36,72.5,78.6
Wisconsin,43,76.4,81.2
Wisconsin,13,77.7,82.3
Wyoming,23,73.6,82
Wyoming,2,77.7,83.1
